College,Graduated,Sector,Dropout,Dropout
AOC De Groene Welle,2005,Bovensectoraal,0,47
AOC De Groene Welle,2005,Bovensectoraal,1,4
AOC De Groene Welle,2005,"Voedsel, groen en gastvrijheid",0,319
AOC De Groene Welle,2005,"Voedsel, groen en gastvrijheid",1,88
AOC De Groene Welle,2006,Bovensectoraal,0,13
AOC De Groene Welle,2006,Bovensectoraal,1,3
AOC De Groene Welle,2006,"Voedsel, groen en gastvrijheid",0,240
AOC De Groene Welle,2006,"Voedsel, groen en gastvrijheid",1,62
AOC De Groene Welle,2007,Bovensectoraal,0,15
AOC De Groene Welle,2007,Bovensectoraal,1,1
AOC De Groene Welle,2007,"Voedsel, groen en gastvrijheid",0,217
AOC De Groene Welle,2007,"Voedsel, groen en gastvrijheid",1,61
AOC De Groene Welle,2008,Bovensectoraal,0,9
AOC De Groene Welle,2008,Bovensectoraal,1,2
AOC De Groene Welle,2008,Handel,0,2
AOC De Groene Welle,2008,"Voedsel, groen en gastvrijheid",0,256
AOC De Groene Welle,2008,"Voedsel, groen en gastvrijheid",1,47
AOC De Groene Welle,2009,Bovensectoraal,0,31
AOC De Groene Welle,2009,Bovensectoraal,1,17
AOC De Groene Welle,2009,Handel,0,1
AOC De Groene Welle,2009,"Voedsel, groen en gastvrijheid",0,267
AOC De Groene Welle,2009,"Voedsel, groen en gastvrijheid",1,42
AOC De Groene Welle,2010,Bovensectoraal,0,38
AOC De Groene Welle,2010,Bovensectoraal,1,5
AOC De Groene Welle,2010,Handel,0,2
AOC De Groene Welle,2010,Handel,1,1
AOC De Groene Welle,2010,"Voedsel, groen en gastvrijheid",0,283
AOC De Groene Welle,2010,"Voedsel, groen en gastvrijheid",1,38
AOC De Groene Welle,2011,Bovensectoraal,0,19
AOC De Groene Welle,2011,Bovensectoraal,1,3
AOC De Groene Welle,2011,Handel,0,2
AOC De Groene Welle,2011,"Voedsel, groen en gastvrijheid",0,301
AOC De Groene Welle,2011,"Voedsel, groen en gastvrijheid",1,40
AOC De Groene Welle,2012,Bovensectoraal,0,16
AOC De Groene Welle,2012,Bovensectoraal,1,8
AOC De Groene Welle,2012,Handel,0,4
AOC De Groene Welle,2012,"Voedsel, groen en gastvrijheid",0,314
AOC De Groene Welle,2012,"Voedsel, groen en gastvrijheid",1,44
AOC De Groene Welle,2013,Bovensectoraal,0,9
AOC De Groene Welle,2013,Bovensectoraal,1,2
AOC De Groene Welle,2013,Handel,0,5
AOC De Groene Welle,2013,Techniek en gebouwde omgeving,0,1
AOC De Groene Welle,2013,"Voedsel, groen en gastvrijheid",0,292
AOC De Groene Welle,2013,"Voedsel, groen en gastvrijheid",1,26
AOC De Groene Welle,2013,Zakelijke dienstverlening en veiligheid,1,1
AOC De Groene Welle,2014,Bovensectoraal,0,1
AOC De Groene Welle,2014,Bovensectoraal,1,1
AOC De Groene Welle,2014,Handel,0,1
AOC De Groene Welle,2014,Techniek en gebouwde omgeving,0,1
AOC De Groene Welle,2014,"Voedsel, groen en gastvrijheid",0,315
AOC De Groene Welle,2014,"Voedsel, groen en gastvrijheid",1,38
AOC De Groene Welle,2014,"Zorg, welzijn en sport",0,1
AOC De Groene Welle,2014,"Zorg, welzijn en sport",1,1
AOC De Groene Welle,2015,Bovensectoraal,0,5
AOC De Groene Welle,2015,Bovensectoraal,1,5
AOC De Groene Welle,2015,Handel,0,3
AOC De Groene Welle,2015,Handel,1,1
AOC De Groene Welle,2015,"Voedsel, groen en gastvrijheid",0,352
AOC De Groene Welle,2015,"Voedsel, groen en gastvrijheid",1,28
AOC De Groene Welle,2015,Zakelijke dienstverlening en veiligheid,1,1
AOC De Groene Welle,2015,"Zorg, welzijn en sport",0,1
AOC Groenhorst College,2005,Bovensectoraal,0,27
AOC Groenhorst College,2005,Bovensectoraal,1,6
AOC Groenhorst College,2005,"Mobiliteit, transport, logistiek, maritiem",0,2
AOC Groenhorst College,2005,"Mobiliteit, transport, logistiek, maritiem",1,1
AOC Groenhorst College,2005,"Voedsel, groen en gastvrijheid",0,450
AOC Groenhorst College,2005,"Voedsel, groen en gastvrijheid",1,184
AOC Groenhorst College,2006,Bovensectoraal,0,31
AOC Groenhorst College,2006,Bovensectoraal,1,3
AOC Groenhorst College,2006,"Mobiliteit, transport, logistiek, maritiem",0,3
AOC Groenhorst College,2006,"Mobiliteit, transport, logistiek, maritiem",1,1
AOC Groenhorst College,2006,"Voedsel, groen en gastvrijheid",0,481
AOC Groenhorst College,2006,"Voedsel, groen en gastvrijheid",1,154
AOC Groenhorst College,2007,Bovensectoraal,0,18
AOC Groenhorst College,2007,Bovensectoraal,1,10
AOC Groenhorst College,2007,"Mobiliteit, transport, logistiek, maritiem",0,3
AOC Groenhorst College,2007,"Voedsel, groen en gastvrijheid",0,582
AOC Groenhorst College,2007,"Voedsel, groen en gastvrijheid",1,143
AOC Groenhorst College,2008,Bovensectoraal,0,18
AOC Groenhorst College,2008,Bovensectoraal,1,7
AOC Groenhorst College,2008,Handel,0,1
AOC Groenhorst College,2008,"Mobiliteit, transport, logistiek, maritiem",0,6
AOC Groenhorst College,2008,"Mobiliteit, transport, logistiek, maritiem",1,1
AOC Groenhorst College,2008,"Voedsel, groen en gastvrijheid",0,610
AOC Groenhorst College,2008,"Voedsel, groen en gastvrijheid",1,145
AOC Groenhorst College,2009,Bovensectoraal,0,23
AOC Groenhorst College,2009,Bovensectoraal,1,11
AOC Groenhorst College,2009,Handel,0,1
AOC Groenhorst College,2009,"Voedsel, groen en gastvrijheid",0,595
AOC Groenhorst College,2009,"Voedsel, groen en gastvrijheid",1,138
AOC Groenhorst College,2010,Bovensectoraal,0,25
AOC Groenhorst College,2010,Bovensectoraal,1,16
AOC Groenhorst College,2010,Handel,0,1
AOC Groenhorst College,2010,"Voedsel, groen en gastvrijheid",0,707
AOC Groenhorst College,2010,"Voedsel, groen en gastvrijheid",1,138
AOC Groenhorst College,2011,Bovensectoraal,0,65
AOC Groenhorst College,2011,Bovensectoraal,1,21
AOC Groenhorst College,2011,"Voedsel, groen en gastvrijheid",0,688
AOC Groenhorst College,2011,"Voedsel, groen en gastvrijheid",1,138
AOC Groenhorst College,2012,Bovensectoraal,0,22
AOC Groenhorst College,2012,Bovensectoraal,1,6
AOC Groenhorst College,2012,"Voedsel, groen en gastvrijheid",0,735
AOC Groenhorst College,2012,"Voedsel, groen en gastvrijheid",1,128
AOC Groenhorst College,2013,Bovensectoraal,0,69
AOC Groenhorst College,2013,Bovensectoraal,1,6
AOC Groenhorst College,2013,"Mobiliteit, transport, logistiek, maritiem",0,1
AOC Groenhorst College,2013,"Voedsel, groen en gastvrijheid",0,734
AOC Groenhorst College,2013,"Voedsel, groen en gastvrijheid",1,97
AOC Groenhorst College,2013,Zakelijke dienstverlening en veiligheid,1,1
AOC Groenhorst College,2013,"Zorg, welzijn en sport",0,1
AOC Groenhorst College,2014,Bovensectoraal,0,15
AOC Groenhorst College,2014,Bovensectoraal,1,3
AOC Groenhorst College,2014,Handel,0,1
AOC Groenhorst College,2014,Specialistisch vakmanschap ,0,1
AOC Groenhorst College,2014,"Voedsel, groen en gastvrijheid",0,774
AOC Groenhorst College,2014,"Voedsel, groen en gastvrijheid",1,134
AOC Groenhorst College,2014,"Zorg, welzijn en sport",0,1
AOC Groenhorst College,2015,Bovensectoraal,0,11
AOC Groenhorst College,2015,Bovensectoraal,1,3
AOC Groenhorst College,2015,"Mobiliteit, transport, logistiek, maritiem",0,1
AOC Groenhorst College,2015,"Voedsel, groen en gastvrijheid",0,835
AOC Groenhorst College,2015,"Voedsel, groen en gastvrijheid",1,201
AOC Groenhorst College,2015,Zakelijke dienstverlening en veiligheid,0,3
AOC Groenhorst College,2015,Zakelijke dienstverlening en veiligheid,1,2
AOC Groenhorst College,2015,"Zorg, welzijn en sport",0,4
AOC Oost,2005,Bovensectoraal,0,89
AOC Oost,2005,Bovensectoraal,1,45
AOC Oost,2005,"Mobiliteit, transport, logistiek, maritiem",0,7
AOC Oost,2005,"Voedsel, groen en gastvrijheid",0,279
AOC Oost,2005,"Voedsel, groen en gastvrijheid",1,126
AOC Oost,2006,Bovensectoraal,0,76
AOC Oost,2006,Bovensectoraal,1,28
AOC Oost,2006,"Mobiliteit, transport, logistiek, maritiem",0,6
AOC Oost,2006,"Voedsel, groen en gastvrijheid",0,421
AOC Oost,2006,"Voedsel, groen en gastvrijheid",1,140
AOC Oost,2007,Bovensectoraal,0,39
AOC Oost,2007,Bovensectoraal,1,35
AOC Oost,2007,"Voedsel, groen en gastvrijheid",0,405
AOC Oost,2007,"Voedsel, groen en gastvrijheid",1,107
AOC Oost,2008,Bovensectoraal,0,105
AOC Oost,2008,Bovensectoraal,1,56
AOC Oost,2008,"Voedsel, groen en gastvrijheid",0,382
AOC Oost,2008,"Voedsel, groen en gastvrijheid",1,161
AOC Oost,2009,Bovensectoraal,0,69
AOC Oost,2009,Bovensectoraal,1,46
AOC Oost,2009,Handel,0,1
AOC Oost,2009,"Voedsel, groen en gastvrijheid",0,465
AOC Oost,2009,"Voedsel, groen en gastvrijheid",1,114
AOC Oost,2010,Bovensectoraal,0,182
AOC Oost,2010,Bovensectoraal,1,57
AOC Oost,2010,Handel,1,1
AOC Oost,2010,"Voedsel, groen en gastvrijheid",0,567
AOC Oost,2010,"Voedsel, groen en gastvrijheid",1,130
AOC Oost,2011,Bovensectoraal,0,148
AOC Oost,2011,Bovensectoraal,1,70
AOC Oost,2011,"Voedsel, groen en gastvrijheid",0,572
AOC Oost,2011,"Voedsel, groen en gastvrijheid",1,117
AOC Oost,2012,Bovensectoraal,0,193
AOC Oost,2012,Bovensectoraal,1,26
AOC Oost,2012,Handel,0,1
AOC Oost,2012,"Voedsel, groen en gastvrijheid",0,642
AOC Oost,2012,"Voedsel, groen en gastvrijheid",1,87
AOC Oost,2013,Bovensectoraal,0,154
AOC Oost,2013,Bovensectoraal,1,19
AOC Oost,2013,Handel,0,3
AOC Oost,2013,"Voedsel, groen en gastvrijheid",0,699
AOC Oost,2013,"Voedsel, groen en gastvrijheid",1,72
AOC Oost,2013,Zakelijke dienstverlening en veiligheid,0,1
AOC Oost,2013,"Zorg, welzijn en sport",0,1
AOC Oost,2014,Bovensectoraal,0,139
AOC Oost,2014,Bovensectoraal,1,15
AOC Oost,2014,Handel,0,1
AOC Oost,2014,"Voedsel, groen en gastvrijheid",0,516
AOC Oost,2014,"Voedsel, groen en gastvrijheid",1,87
AOC Oost,2014,"Zorg, welzijn en sport",0,1
AOC Oost,2015,Bovensectoraal,0,74
AOC Oost,2015,Bovensectoraal,1,9
AOC Oost,2015,Creatieve industrie en ICT,0,1
AOC Oost,2015,Handel,0,2
AOC Oost,2015,"Mobiliteit, transport, logistiek, maritiem",0,2
AOC Oost,2015,"Voedsel, groen en gastvrijheid",0,619
AOC Oost,2015,"Voedsel, groen en gastvrijheid",1,77
AOC Oost,2015,Zakelijke dienstverlening en veiligheid,1,1
AOC Oost,2015,"Zorg, welzijn en sport",0,2
AOC Oost,2015,"Zorg, welzijn en sport",1,1
AOC Terra,2005,Bovensectoraal,0,60
AOC Terra,2005,Bovensectoraal,1,34
AOC Terra,2005,"Mobiliteit, transport, logistiek, maritiem",0,10
AOC Terra,2005,"Mobiliteit, transport, logistiek, maritiem",1,3
AOC Terra,2005,"Voedsel, groen en gastvrijheid",0,406
AOC Terra,2005,"Voedsel, groen en gastvrijheid",1,165
AOC Terra,2006,Bovensectoraal,0,46
AOC Terra,2006,Bovensectoraal,1,30
AOC Terra,2006,"Mobiliteit, transport, logistiek, maritiem",0,3
AOC Terra,2006,"Voedsel, groen en gastvrijheid",0,383
AOC Terra,2006,"Voedsel, groen en gastvrijheid",1,116
AOC Terra,2007,Bovensectoraal,1,20
AOC Terra,2007,Bovensectoraal,0,15
AOC Terra,2007,"Mobiliteit, transport, logistiek, maritiem",0,7
AOC Terra,2007,"Voedsel, groen en gastvrijheid",0,419
AOC Terra,2007,"Voedsel, groen en gastvrijheid",1,94
AOC Terra,2008,Bovensectoraal,0,42
AOC Terra,2008,Bovensectoraal,1,20
AOC Terra,2008,"Mobiliteit, transport, logistiek, maritiem",0,10
AOC Terra,2008,"Voedsel, groen en gastvrijheid",0,423
AOC Terra,2008,"Voedsel, groen en gastvrijheid",1,66
AOC Terra,2009,Bovensectoraal,0,46
AOC Terra,2009,Bovensectoraal,1,21
AOC Terra,2009,"Mobiliteit, transport, logistiek, maritiem",0,10
AOC Terra,2009,"Voedsel, groen en gastvrijheid",0,412
AOC Terra,2009,"Voedsel, groen en gastvrijheid",1,71
AOC Terra,2010,Bovensectoraal,0,45
AOC Terra,2010,Bovensectoraal,1,19
AOC Terra,2010,"Mobiliteit, transport, logistiek, maritiem",0,2
AOC Terra,2010,"Voedsel, groen en gastvrijheid",0,439
AOC Terra,2010,"Voedsel, groen en gastvrijheid",1,72
AOC Terra,2011,Bovensectoraal,0,42
AOC Terra,2011,Bovensectoraal,1,23
AOC Terra,2011,"Voedsel, groen en gastvrijheid",0,449
AOC Terra,2011,"Voedsel, groen en gastvrijheid",1,61
AOC Terra,2012,Bovensectoraal,0,71
AOC Terra,2012,Bovensectoraal,1,30
AOC Terra,2012,Handel,0,1
AOC Terra,2012,"Voedsel, groen en gastvrijheid",0,477
AOC Terra,2012,"Voedsel, groen en gastvrijheid",1,52
AOC Terra,2013,Bovensectoraal,0,60
AOC Terra,2013,Bovensectoraal,1,21
AOC Terra,2013,Handel,0,4
AOC Terra,2013,Handel,1,1
AOC Terra,2013,"Voedsel, groen en gastvrijheid",0,487
AOC Terra,2013,"Voedsel, groen en gastvrijheid",1,54
AOC Terra,2014,Bovensectoraal,0,61
AOC Terra,2014,Bovensectoraal,1,25
AOC Terra,2014,Handel,0,2
AOC Terra,2014,Techniek en gebouwde omgeving,0,2
AOC Terra,2014,"Voedsel, groen en gastvrijheid",0,472
AOC Terra,2014,"Voedsel, groen en gastvrijheid",1,74
AOC Terra,2014,Zakelijke dienstverlening en veiligheid,0,1
AOC Terra,2014,"Zorg, welzijn en sport",1,1
AOC Terra,2015,Bovensectoraal,0,59
AOC Terra,2015,Bovensectoraal,1,23
AOC Terra,2015,Handel,0,2
AOC Terra,2015,Techniek en gebouwde omgeving,0,1
AOC Terra,2015,"Voedsel, groen en gastvrijheid",0,555
AOC Terra,2015,"Voedsel, groen en gastvrijheid",1,77
AOC Terra,2015,Zakelijke dienstverlening en veiligheid,1,1
AOC Terra,2015,"Zorg, welzijn en sport",0,2
BBO de Schalm,2006,Zakelijke dienstverlening en veiligheid,0,2
BBO de Schalm,2007,Zakelijke dienstverlening en veiligheid,0,1
BBO de Schalm,2007,Zakelijke dienstverlening en veiligheid,1,1
BBO de Schalm,2008,Zakelijke dienstverlening en veiligheid,1,1
BBO de Schalm,2009,Zakelijke dienstverlening en veiligheid,0,1
BBO de Schalm,2009,Zakelijke dienstverlening en veiligheid,1,1
BBO de Schalm,2010,Zakelijke dienstverlening en veiligheid,0,1
BBO de Schalm,2010,Zakelijke dienstverlening en veiligheid,1,1
BBO de Schalm,2011,Zakelijke dienstverlening en veiligheid,0,2
BBO de Schalm,2011,Zakelijke dienstverlening en veiligheid,1,1
BBO de Schalm,2012,Zakelijke dienstverlening en veiligheid,0,3
BBO de Schalm,2012,Zakelijke dienstverlening en veiligheid,1,1
BBO de Schalm,2013,Zakelijke dienstverlening en veiligheid,0,1
BBO de Schalm,2014,Zakelijke dienstverlening en veiligheid,0,2
BBO de Schalm,2015,Zakelijke dienstverlening en veiligheid,0,1
Berechja College,2005,"Mobiliteit, transport, logistiek, maritiem",0,26
Berechja College,2005,"Mobiliteit, transport, logistiek, maritiem",1,6
Berechja College,2006,"Mobiliteit, transport, logistiek, maritiem",0,40
Berechja College,2006,"Mobiliteit, transport, logistiek, maritiem",1,4
Berechja College,2007,"Mobiliteit, transport, logistiek, maritiem",0,19
Berechja College,2007,"Mobiliteit, transport, logistiek, maritiem",1,4
Berechja College,2008,"Mobiliteit, transport, logistiek, maritiem",0,21
Berechja College,2008,"Mobiliteit, transport, logistiek, maritiem",1,2
Berechja College,2009,"Mobiliteit, transport, logistiek, maritiem",0,40
Berechja College,2009,"Mobiliteit, transport, logistiek, maritiem",1,11
Berechja College,2010,"Mobiliteit, transport, logistiek, maritiem",0,49
Berechja College,2010,"Mobiliteit, transport, logistiek, maritiem",1,30
Berechja College,2011,"Mobiliteit, transport, logistiek, maritiem",0,37
Berechja College,2011,"Mobiliteit, transport, logistiek, maritiem",1,37
Berechja College,2012,"Mobiliteit, transport, logistiek, maritiem",0,19
Berechja College,2012,"Mobiliteit, transport, logistiek, maritiem",1,7
Berechja College,2013,"Mobiliteit, transport, logistiek, maritiem",0,18
Berechja College,2013,"Mobiliteit, transport, logistiek, maritiem",1,8
Berechja College,2014,Bovensectoraal,1,1
Berechja College,2014,"Mobiliteit, transport, logistiek, maritiem",0,13
Berechja College,2014,"Mobiliteit, transport, logistiek, maritiem",1,9
Berechja College,2015,"Mobiliteit, transport, logistiek, maritiem",0,43
Berechja College,2015,"Mobiliteit, transport, logistiek, maritiem",1,6
CIBAP,2006,Creatieve industrie en ICT,0,178
CIBAP,2006,Creatieve industrie en ICT,1,35
CIBAP,2006,Techniek en gebouwde omgeving,0,121
CIBAP,2006,Techniek en gebouwde omgeving,1,21
CIBAP,2007,Creatieve industrie en ICT,0,184
CIBAP,2007,Creatieve industrie en ICT,1,41
CIBAP,2007,Techniek en gebouwde omgeving,0,90
CIBAP,2007,Techniek en gebouwde omgeving,1,10
CIBAP,2008,Creatieve industrie en ICT,0,152
CIBAP,2008,Creatieve industrie en ICT,1,29
CIBAP,2008,Techniek en gebouwde omgeving,0,89
CIBAP,2008,Techniek en gebouwde omgeving,1,10
CIBAP,2009,Creatieve industrie en ICT,0,171
CIBAP,2009,Creatieve industrie en ICT,1,25
CIBAP,2009,Techniek en gebouwde omgeving,0,99
CIBAP,2009,Techniek en gebouwde omgeving,1,15
CIBAP,2010,Creatieve industrie en ICT,0,138
CIBAP,2010,Creatieve industrie en ICT,1,26
CIBAP,2010,Techniek en gebouwde omgeving,0,104
CIBAP,2010,Techniek en gebouwde omgeving,1,7
CIBAP,2011,Creatieve industrie en ICT,0,167
CIBAP,2011,Creatieve industrie en ICT,1,23
CIBAP,2011,Techniek en gebouwde omgeving,0,101
CIBAP,2011,Techniek en gebouwde omgeving,1,20
CIBAP,2012,Creatieve industrie en ICT,0,187
CIBAP,2012,Creatieve industrie en ICT,1,19
CIBAP,2012,Techniek en gebouwde omgeving,0,91
CIBAP,2012,Techniek en gebouwde omgeving,1,11
CIBAP,2012,"Voedsel, groen en gastvrijheid",0,1
CIBAP,2013,Creatieve industrie en ICT,0,178
CIBAP,2013,Creatieve industrie en ICT,1,33
CIBAP,2013,Handel,0,2
CIBAP,2013,Handel,1,1
CIBAP,2013,Specialistisch vakmanschap ,1,2
CIBAP,2013,Specialistisch vakmanschap ,0,1
CIBAP,2013,Techniek en gebouwde omgeving,0,114
CIBAP,2013,Techniek en gebouwde omgeving,1,8
CIBAP,2013,"Zorg, welzijn en sport",0,2
CIBAP,2014,Creatieve industrie en ICT,0,217
CIBAP,2014,Creatieve industrie en ICT,1,22
CIBAP,2014,Specialistisch vakmanschap ,0,2
CIBAP,2014,Techniek en gebouwde omgeving,0,114
CIBAP,2014,Techniek en gebouwde omgeving,1,10
CIBAP,2014,"Voedsel, groen en gastvrijheid",0,1
CIBAP,2015,Bovensectoraal,0,1
CIBAP,2015,Creatieve industrie en ICT,0,254
CIBAP,2015,Creatieve industrie en ICT,1,33
CIBAP,2015,"Mobiliteit, transport, logistiek, maritiem",0,1
CIBAP,2015,Specialistisch vakmanschap ,0,30
CIBAP,2015,Specialistisch vakmanschap ,1,3
CIBAP,2015,Techniek en gebouwde omgeving,0,105
CIBAP,2015,Techniek en gebouwde omgeving,1,7
CIBAP,2015,"Voedsel, groen en gastvrijheid",0,1
CIBAP,2015,"Voedsel, groen en gastvrijheid",1,1
CIBAP,2015,Zakelijke dienstverlening en veiligheid,1,1
CIBAP,2015,"Zorg, welzijn en sport",0,1
CITAVERDE College,2005,Bovensectoraal,0,57
CITAVERDE College,2005,Bovensectoraal,1,34
CITAVERDE College,2005,"Mobiliteit, transport, logistiek, maritiem",1,3
CITAVERDE College,2005,"Mobiliteit, transport, logistiek, maritiem",0,2
CITAVERDE College,2005,"Voedsel, groen en gastvrijheid",0,162
CITAVERDE College,2005,"Voedsel, groen en gastvrijheid",1,103
CITAVERDE College,2006,Bovensectoraal,0,40
CITAVERDE College,2006,Bovensectoraal,1,25
CITAVERDE College,2006,Handel,0,1
CITAVERDE College,2006,"Mobiliteit, transport, logistiek, maritiem",0,6
CITAVERDE College,2006,"Mobiliteit, transport, logistiek, maritiem",1,2
CITAVERDE College,2006,"Voedsel, groen en gastvrijheid",0,202
CITAVERDE College,2006,"Voedsel, groen en gastvrijheid",1,84
CITAVERDE College,2007,Bovensectoraal,0,58
CITAVERDE College,2007,Bovensectoraal,1,27
CITAVERDE College,2007,Handel,0,12
CITAVERDE College,2007,Handel,1,1
CITAVERDE College,2007,"Mobiliteit, transport, logistiek, maritiem",0,5
CITAVERDE College,2007,"Voedsel, groen en gastvrijheid",0,267
CITAVERDE College,2007,"Voedsel, groen en gastvrijheid",1,69
CITAVERDE College,2008,Bovensectoraal,0,48
CITAVERDE College,2008,Bovensectoraal,1,23
CITAVERDE College,2008,Handel,0,1
CITAVERDE College,2008,"Mobiliteit, transport, logistiek, maritiem",0,3
CITAVERDE College,2008,"Voedsel, groen en gastvrijheid",0,277
CITAVERDE College,2008,"Voedsel, groen en gastvrijheid",1,89
CITAVERDE College,2009,Bovensectoraal,0,94
CITAVERDE College,2009,Bovensectoraal,1,33
CITAVERDE College,2009,Handel,0,1
CITAVERDE College,2009,"Voedsel, groen en gastvrijheid",0,251
CITAVERDE College,2009,"Voedsel, groen en gastvrijheid",1,82
CITAVERDE College,2010,Bovensectoraal,0,119
CITAVERDE College,2010,Bovensectoraal,1,38
CITAVERDE College,2010,"Voedsel, groen en gastvrijheid",0,340
CITAVERDE College,2010,"Voedsel, groen en gastvrijheid",1,73
CITAVERDE College,2011,Bovensectoraal,0,138
CITAVERDE College,2011,Bovensectoraal,1,46
CITAVERDE College,2011,"Voedsel, groen en gastvrijheid",0,394
CITAVERDE College,2011,"Voedsel, groen en gastvrijheid",1,90
CITAVERDE College,2012,Bovensectoraal,0,125
CITAVERDE College,2012,Bovensectoraal,1,44
CITAVERDE College,2012,"Voedsel, groen en gastvrijheid",0,394
CITAVERDE College,2012,"Voedsel, groen en gastvrijheid",1,65
CITAVERDE College,2013,Bovensectoraal,0,92
CITAVERDE College,2013,Bovensectoraal,1,31
CITAVERDE College,2013,Creatieve industrie en ICT,0,1
CITAVERDE College,2013,Handel,0,2
CITAVERDE College,2013,"Voedsel, groen en gastvrijheid",0,425
CITAVERDE College,2013,"Voedsel, groen en gastvrijheid",1,43
CITAVERDE College,2013,"Zorg, welzijn en sport",0,1
CITAVERDE College,2014,Bovensectoraal,0,55
CITAVERDE College,2014,Bovensectoraal,1,14
CITAVERDE College,2014,Handel,0,4
CITAVERDE College,2014,Handel,1,3
CITAVERDE College,2014,"Mobiliteit, transport, logistiek, maritiem",0,1
CITAVERDE College,2014,"Voedsel, groen en gastvrijheid",0,364
CITAVERDE College,2014,"Voedsel, groen en gastvrijheid",1,37
CITAVERDE College,2014,"Zorg, welzijn en sport",0,4
CITAVERDE College,2015,Bovensectoraal,0,33
CITAVERDE College,2015,Bovensectoraal,1,9
CITAVERDE College,2015,Handel,1,1
CITAVERDE College,2015,"Voedsel, groen en gastvrijheid",0,413
CITAVERDE College,2015,"Voedsel, groen en gastvrijheid",1,66
CITAVERDE College,2015,Zakelijke dienstverlening en veiligheid,0,1
CITAVERDE College,2015,"Zorg, welzijn en sport",0,1
Clusius College,2005,Bovensectoraal,1,17
Clusius College,2005,Bovensectoraal,0,16
Clusius College,2005,"Voedsel, groen en gastvrijheid",0,203
Clusius College,2005,"Voedsel, groen en gastvrijheid",1,78
Clusius College,2006,Bovensectoraal,0,15
Clusius College,2006,Bovensectoraal,1,5
Clusius College,2006,"Voedsel, groen en gastvrijheid",0,235
Clusius College,2006,"Voedsel, groen en gastvrijheid",1,92
Clusius College,2007,Bovensectoraal,0,22
Clusius College,2007,Bovensectoraal,1,7
Clusius College,2007,"Voedsel, groen en gastvrijheid",0,270
Clusius College,2007,"Voedsel, groen en gastvrijheid",1,70
Clusius College,2008,Bovensectoraal,0,14
Clusius College,2008,Bovensectoraal,1,8
Clusius College,2008,"Voedsel, groen en gastvrijheid",0,295
Clusius College,2008,"Voedsel, groen en gastvrijheid",1,56
Clusius College,2009,Bovensectoraal,0,21
Clusius College,2009,Bovensectoraal,1,3
Clusius College,2009,"Voedsel, groen en gastvrijheid",0,259
Clusius College,2009,"Voedsel, groen en gastvrijheid",1,65
Clusius College,2010,Bovensectoraal,0,30
Clusius College,2010,Bovensectoraal,1,11
Clusius College,2010,Handel,0,1
Clusius College,2010,Handel,1,1
Clusius College,2010,"Voedsel, groen en gastvrijheid",0,244
Clusius College,2010,"Voedsel, groen en gastvrijheid",1,70
Clusius College,2011,Bovensectoraal,0,43
Clusius College,2011,Bovensectoraal,1,19
Clusius College,2011,"Voedsel, groen en gastvrijheid",0,319
Clusius College,2011,"Voedsel, groen en gastvrijheid",1,67
Clusius College,2012,Bovensectoraal,0,60
Clusius College,2012,Bovensectoraal,1,11
Clusius College,2012,Handel,0,1
Clusius College,2012,Handel,1,1
Clusius College,2012,"Voedsel, groen en gastvrijheid",0,316
Clusius College,2012,"Voedsel, groen en gastvrijheid",1,62
Clusius College,2013,Bovensectoraal,0,23
Clusius College,2013,Bovensectoraal,1,6
Clusius College,2013,Handel,0,3
Clusius College,2013,"Voedsel, groen en gastvrijheid",0,402
Clusius College,2013,"Voedsel, groen en gastvrijheid",1,48
Clusius College,2014,Bovensectoraal,0,39
Clusius College,2014,Bovensectoraal,1,4
Clusius College,2014,Handel,0,1
Clusius College,2014,Handel,1,1
Clusius College,2014,"Voedsel, groen en gastvrijheid",0,390
Clusius College,2014,"Voedsel, groen en gastvrijheid",1,58
Clusius College,2014,Zakelijke dienstverlening en veiligheid,0,1
Clusius College,2014,Zakelijke dienstverlening en veiligheid,1,1
Clusius College,2015,Bovensectoraal,0,15
Clusius College,2015,Bovensectoraal,1,3
Clusius College,2015,Creatieve industrie en ICT,1,1
Clusius College,2015,Handel,0,3
Clusius College,2015,"Mobiliteit, transport, logistiek, maritiem",1,1
Clusius College,2015,Techniek en gebouwde omgeving,0,1
Clusius College,2015,"Voedsel, groen en gastvrijheid",0,443
Clusius College,2015,"Voedsel, groen en gastvrijheid",1,55
Clusius College,2015,Zakelijke dienstverlening en veiligheid,0,3
Clusius College,2015,"Zorg, welzijn en sport",0,1
De Rooi Pannen,2005,Bovensectoraal,0,185
De Rooi Pannen,2005,Bovensectoraal,1,65
De Rooi Pannen,2005,Creatieve industrie en ICT,0,55
De Rooi Pannen,2005,Creatieve industrie en ICT,1,10
De Rooi Pannen,2005,Handel,0,129
De Rooi Pannen,2005,Handel,1,108
De Rooi Pannen,2005,"Mobiliteit, transport, logistiek, maritiem",0,18
De Rooi Pannen,2005,"Mobiliteit, transport, logistiek, maritiem",1,2
De Rooi Pannen,2005,"Voedsel, groen en gastvrijheid",0,248
De Rooi Pannen,2005,"Voedsel, groen en gastvrijheid",1,142
De Rooi Pannen,2005,Zakelijke dienstverlening en veiligheid,0,24
De Rooi Pannen,2005,Zakelijke dienstverlening en veiligheid,1,20
De Rooi Pannen,2005,"Zorg, welzijn en sport",1,4
De Rooi Pannen,2005,"Zorg, welzijn en sport",0,1
